361 2 20
8 324 4
12 72 2
1 0 0
2 0.5 0
3 1 0
4 1.5 0
5 2 0
6 2.5 0
7 3 0
8 3.5 0
9 4 0
10 4.5 0
11 5 0
12 5.5 0
13 6 0
14 6.5 0
15 7 0
16 7.5 0
17 8 0
18 8.5 0
19 9 0
20 0 -0.5
21 0.5 -0.5
22 1 -0.5
23 1.5 -0.5
24 2 -0.5
25 2.5 -0.5
26 3 -0.5
27 3.5 -0.5
28 4 -0.5
29 4.5 -0.5
30 5 -0.5
31 5.5 -0.5
32 6 -0.5
33 6.5 -0.5
34 7 -0.5
35 7.5 -0.5
36 8 -0.5
37 8.5 -0.5
38 9 -0.5
39 0 -1
40 0.5 -1
41 1 -1
42 1.5 -1
43 2 -1
44 2.5 -1
45 3 -1
46 3.5 -1
47 4 -1
48 4.5 -1
49 5 -1
50 5.5 -1
51 6 -1
52 6.5 -1
53 7 -1
54 7.5 -1
55 8 -1
56 8.5 -1
57 9 -1
58 0 -1.5
59 0.5 -1.5
60 1 -1.5
61 1.5 -1.5
62 2 -1.5
63 2.5 -1.5
64 3 -1.5
65 3.5 -1.5
66 4 -1.5
67 4.5 -1.5
68 5 -1.5
69 5.5 -1.5
70 6 -1.5
71 6.5 -1.5
72 7 -1.5
73 7.5 -1.5
74 8 -1.5
75 8.5 -1.5
76 9 -1.5
77 0 -2
78 0.5 -2
79 1 -2
80 1.5 -2
81 2 -2
82 2.5 -2
83 3 -2
84 3.5 -2
85 4 -2
86 4.5 -2
87 5 -2
88 5.5 -2
89 6 -2
90 6.5 -2
91 7 -2
92 7.5 -2
93 8 -2
94 8.5 -2
95 9 -2
96 0 -2.5
97 0.5 -2.5
98 1 -2.5
99 1.5 -2.5
100 2 -2.5
101 2.5 -2.5
102 3 -2.5
103 3.5 -2.5
104 4 -2.5
105 4.5 -2.5
106 5 -2.5
107 5.5 -2.5
108 6 -2.5
109 6.5 -2.5
110 7 -2.5
111 7.5 -2.5
112 8 -2.5
113 8.5 -2.5
114 9 -2.5
115 0 -3
116 0.5 -3
117 1 -3
118 1.5 -3
119 2 -3
120 2.5 -3
121 3 -3
122 3.5 -3
123 4 -3
124 4.5 -3
125 5 -3
126 5.5 -3
127 6 -3
128 6.5 -3
129 7 -3
130 7.5 -3
131 8 -3
132 8.5 -3
133 9 -3
134 0 -3.5
135 0.5 -3.5
136 1 -3.5
137 1.5 -3.5
138 2 -3.5
139 2.5 -3.5
140 3 -3.5
141 3.5 -3.5
142 4 -3.5
143 4.5 -3.5
144 5 -3.5
145 5.5 -3.5
146 6 -3.5
147 6.5 -3.5
148 7 -3.5
149 7.5 -3.5
150 8 -3.5
151 8.5 -3.5
152 9 -3.5
153 0 -4
154 0.5 -4
155 1 -4
156 1.5 -4
157 2 -4
158 2.5 -4
159 3 -4
160 3.5 -4
161 4 -4
162 4.5 -4
163 5 -4
164 5.5 -4
165 6 -4
166 6.5 -4
167 7 -4
168 7.5 -4
169 8 -4
170 8.5 -4
171 9 -4
172 0 -4.5
173 0.5 -4.5
174 1 -4.5
175 1.5 -4.5
176 2 -4.5
177 2.5 -4.5
178 3 -4.5
179 3.5 -4.5
180 4 -4.5
181 4.5 -4.5
182 5 -4.5
183 5.5 -4.5
184 6 -4.5
185 6.5 -4.5
186 7 -4.5
187 7.5 -4.5
188 8 -4.5
189 8.5 -4.5
190 9 -4.5
191 0 -5
192 0.5 -5
193 1 -5
194 1.5 -5
195 2 -5
196 2.5 -5
197 3 -5
198 3.5 -5
199 4 -5
200 4.5 -5
201 5 -5
202 5.5 -5
203 6 -5
204 6.5 -5
205 7 -5
206 7.5 -5
207 8 -5
208 8.5 -5
209 9 -5
210 0 -5.5
211 0.5 -5.5
212 1 -5.5
213 1.5 -5.5
214 2 -5.5
215 2.5 -5.5
216 3 -5.5
217 3.5 -5.5
218 4 -5.5
219 4.5 -5.5
220 5 -5.5
221 5.5 -5.5
222 6 -5.5
223 6.5 -5.5
224 7 -5.5
225 7.5 -5.5
226 8 -5.5
227 8.5 -5.5
228 9 -5.5
229 0 -6
230 0.5 -6
231 1 -6
232 1.5 -6
233 2 -6
234 2.5 -6
235 3 -6
236 3.5 -6
237 4 -6
238 4.5 -6
239 5 -6
240 5.5 -6
241 6 -6
242 6.5 -6
243 7 -6
244 7.5 -6
245 8 -6
246 8.5 -6
247 9 -6
248 0 -6.5
249 0.5 -6.5
250 1 -6.5
251 1.5 -6.5
252 2 -6.5
253 2.5 -6.5
254 3 -6.5
255 3.5 -6.5
256 4 -6.5
257 4.5 -6.5
258 5 -6.5
259 5.5 -6.5
260 6 -6.5
261 6.5 -6.5
262 7 -6.5
263 7.5 -6.5
264 8 -6.5
265 8.5 -6.5
266 9 -6.5
267 0 -7
268 0.5 -7
269 1 -7
270 1.5 -7
271 2 -7
272 2.5 -7
273 3 -7
274 3.5 -7
275 4 -7
276 4.5 -7
277 5 -7
278 5.5 -7
279 6 -7
280 6.5 -7
281 7 -7
